State (Emission order)	CTCF	H2AZ	H3K27me3	H4K20me1	H3K36me3	H3K4me1	H3K4me2	H3K9ac	POL2BA
1	0.02779689627126813	0.0	0.7799159071830182	0.0	5.148827119101987E-4	0.043023630258207525	0.13448712421805425	0.00975234671563991	0.0
2	0.0018340551845773185	0.0	0.07356613105271641	0.0	6.902728513556018E-5	9.185597093999269E-4	2.8188920185685345E-4	3.494510193977808E-4	0.0
3	9.115170327932488E-4	0.0	0.0019941137937670517	0.0	0.0010084775727714345	2.7720921844348096E-4	1.9952186187963903E-4	2.5615773156227286E-4	0.0
4	0.008780299496604256	0.0	2.91141881191174E-4	0.0	0.21534800582844676	0.004532508971001757	4.789672535299389E-4	0.0014298741005822637	0.0
5	0.02252947656688554	0.0	0.001573756674847769	0.0	0.05885838001497568	0.6658359472031277	0.020363709503152274	0.017257718153058373	0.0
6	0.05932892404994552	0.0	0.0044222945912757656	0.0	0.05380659530985328	0.8222809142568751	0.953207699598847	0.012314910450023982	0.0
7	0.10498282527606136	0.0	0.003947159034333133	0.0	0.09887980629227948	0.9823268102049398	0.9549355242489043	0.9250908817210096	0.0
8	0.13882272591365352	0.0	0.019130506797905806	0.0	0.031042639284574645	0.036578951459856665	0.9999999758564027	0.8909706392838204	0.0
9	0.08324564161650376	0.0	0.0034923216848799198	0.0	0.003252024183842982	1.259155888069046E-4	7.133749535085074E-19	0.7783980502654753	0.0
10	0.910658499314135	0.0	0.015476191355501231	0.0	0.017775873060983396	0.046787390684165375	0.05476993044751575	0.007479980705764686	0.0
